indicator,corr,n
"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",0.1537426317243902,3716
Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),0.15244714021850686,524
Statistical performance indicators (SPI): Overall score (scale 0-100),0.15041372192750163,1611
Trade (% of GDP),0.14791619229443073,9945
Gross savings (% of GDP),0.14754883027264193,7704
High-technology exports (% of manufactured exports),0.14584974282986646,3290
"External debt stocks, short-term (DOD, current US$)",0.14576127296234717,6156
General government final consumption expenditure (constant 2015 US$),0.14558738152557307,7726
Net ODA received per capita (current US$),0.14482114445940705,10055
"Secondary income, other sectors, payments (BoP, current US$)",0.1446334062347065,7074
"Debt service on external debt, total (TDS, current US$)",0.1438824755619312,6329
Ores and metals imports (% of merchandise imports),0.14343329225837398,9099
Adjusted savings: net national savings (% of GNI),0.14326689153954192,7585
"Preprimary education, duration (years)",0.14285069031203051,5565
CPIA structural policies cluster average (1=low to 6=high),0.141238017430657,2327
Machinery and transport equipment (% of value added in manufacturing),0.14022102132773248,4804
"Goods exports (BoP, current US$)",0.13920312422444617,7638
"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",0.1389847452706019,6181
Taxes less subsidies on products (current US$),0.13747938516042787,7511
"Exports of goods and services (BoP, current US$)",0.13696653155023727,7639
"Imports of goods and services (BoP, current US$)",0.136115783450393,7639
"External debt stocks, total (DOD, current US$)",0.1357673368521451,6344
Terrestrial protected areas (% of total land area),0.13565703173936705,2986
Arms exports (SIPRI trend indicator values),0.13555185195590108,2998
Expense (% of GDP),0.13524797942401096,5171
"Goods imports (BoP, current US$)",0.13510427657960225,7639
Mobile cellular subscriptions (per 100 people),0.13379070758081482,12273
Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),0.13357554317059994,2369
CPIA financial sector rating (1=low to 6=high),0.13322521231917314,2327
Adjusted savings: education expenditure (current US$),0.13290318033693707,8251
"Primary income payments (BoP, current US$)",0.13182315555838348,7609
Insurance and financial services (% of commercial service exports),0.13079136065465133,8150
"Service imports (BoP, current US$)",0.13072466171816163,7630
Net primary income (Net income from abroad) (constant LCU),0.13068092617881374,991
"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",0.1300373255574946,6329
Antiretroviral therapy coverage (% of people living with HIV),0.12961692151524143,4021
"Services, value added (% of GDP)",0.12950992655072635,9745
"External debt stocks, long-term (DOD, current US$)",0.12923318107426734,6340
CPIA debt policy rating (1=low to 6=high),0.1291538664918199,2327
"Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)",0.128330689707049,1041
"Primary income receipts (BoP, current US$)",0.12785380386662723,7494
"Net ODA provided, total (constant 2021 US$)",0.1268656840429985,1454
Households and NPISHs Final consumption expenditure (constant 2015 US$),0.1261478280048635,8062
UHC service coverage sub-index on non-communicable diseases,0.1261247232593233,4752
Taxes on exports (current LCU),0.12417785909992078,1590
Liner shipping connectivity index (maximum value in 2004 = 100),0.12254968124766878,2590
Final consumption expenditure (constant 2015 US$),0.12221671514233902,8238
CPIA property rights and rule-based governance rating (1=low to 6=high),0.12161850331984124,2327
Gross fixed capital formation (constant 2015 US$),0.12080183202730019,7487
Transport services (% of commercial service exports),0.12072566998507861,9205
Merchandise trade (% of GDP),0.1204807670560579,12236
GNI (constant 2015 US$),0.11970691607524289,6336
"Age dependency ratio, old (% of working-age population)",0.11871880625571421,13805
